capacity,vehicles_available,capacity_free,hour,temp,hum,percp,wspeed
20,2,18,13,14.5,61.0,0.0,16.1
20,2,18,14,14.4,63.0,0.0,15.5
20,0,20,15,13.6,67.0,0.0,15.5
20,9,11,16,12.9,70.0,0.0,14.8
20,11,9,17,12.2,73.0,0.0,13.8
20,8,12,18,11.6,75.0,0.0,12.0
20,1,19,19,11.5,77.0,0.0,10.5
20,0,20,20,11.0,81.0,0.0,8.7
20,4,16,21,10.5,84.0,0.0,7.8
20,1,19,22,10.7,79.0,0.0,8.6
20,1,19,23,10.4,79.0,0.0,8.2
20,1,19,0,10.3,80.0,0.0,7.9
20,1,19,1,10.0,82.0,0.0,7.7
20,0,20,3,9.1,90.0,0.0,6.2
20,0,20,4,9.3,90.0,0.2,5.6
20,0,20,5,9.6,91.0,0.1,5.5
20,0,20,6,10.3,85.0,0.1,7.4
20,0,20,7,10.9,83.0,0.0,9.7
20,5,15,8,11.4,81.0,0.0,10.4
20,1,19,9,12.3,79.0,0.0,9.4
20,1,19,10,13.3,76.0,0.0,7.0
20,2,18,11,14.4,72.0,0.1,5.7
20,1,19,12,15.4,68.0,0.1,6.1
20,0,20,13,15.9,67.0,0.0,7.2
20,1,19,14,16.0,68.0,0.0,9.9
20,3,17,22,15.8,82.0,0.0,6.1
20,3,17,22,15.8,82.0,0.0,6.1
20,3,17,23,15.4,82.0,0.0,6.2
20,3,17,0,14.6,85.0,0.0,8.0
20,2,18,1,14.4,84.0,0.0,8.2
20,2,18,3,13.1,88.0,0.0,5.6
20,2,18,4,12.7,90.0,0.0,5.5
20,2,18,5,13.9,92.0,0.0,4.5
20,2,18,6,17.5,80.0,0.0,3.3
20,3,17,7,19.0,77.0,0.0,4.0
20,16,4,8,20.6,67.0,0.0,4.0
20,20,0,9,22.0,61.0,0.0,4.2
20,11,9,10,23.0,55.0,0.0,2.2
20,9,11,11,23.8,51.0,0.0,3.6
20,8,12,12,24.3,48.0,0.0,4.6
20,1,19,13,24.6,47.0,0.0,6.2
20,4,16,14,24.5,47.0,0.0,7.7
20,2,18,15,24.3,48.0,0.3,9.0
20,4,16,16,23.1,56.0,0.0,9.4
20,4,16,17,22.2,62.0,0.0,7.9
20,4,16,18,21.1,67.0,0.0,5.8
20,0,20,19,20.2,71.0,0.0,7.6
20,5,15,20,18.3,80.0,0.0,6.5
20,6,14,21,17.0,82.0,0.0,6.1
20,8,12,22,16.1,84.0,0.0,4.8
20,8,12,23,15.2,86.0,0.0,5.1
20,7,13,0,14.5,88.0,0.0,5.6
20,8,12,1,13.7,91.0,0.0,4.6
20,8,12,3,11.5,95.0,0.0,6.4
20,8,12,4,11.4,95.0,0.0,7.8
20,8,12,5,13.7,92.0,0.0,8.4
20,8,12,6,17.9,81.0,0.0,6.4
20,7,13,7,20.4,71.0,0.0,5.6
20,17,3,8,22.4,62.0,0.0,6.1
20,20,0,9,23.8,57.0,0.0,7.1
20,18,2,10,24.8,54.0,0.0,3.5
20,14,6,11,25.1,52.0,0.0,4.7
20,20,0,12,24.5,56.0,0.0,7.9
20,15,5,13,24.9,54.0,0.0,9.0
20,0,20,14,23.4,60.0,0.4,8.8
20,7,13,15,22.4,65.0,0.0,5.5
20,9,11,16,21.6,72.0,0.0,11.6
20,9,11,17,20.5,77.0,0.0,3.9
20,12,8,18,19.6,80.0,0.2,3.7
20,8,12,19,18.1,91.0,0.2,4.5
20,8,12,20,17.4,93.0,0.2,3.3
20,14,6,21,16.8,94.0,0.0,4.2
20,14,6,22,16.3,94.0,0.0,1.8
20,13,7,23,16.0,94.0,0.0,2.9
20,14,6,0,15.6,94.0,0.1,2.2
20,14,6,1,15.2,94.0,1.4,1.1
20,4,16,3,14.1,95.0,0.4,3.0
20,4,16,4,14.3,95.0,0.1,3.2
20,4,16,5,15.5,94.0,0.0,3.1
20,4,16,6,16.8,91.0,0.0,4.6
20,9,11,7,16.1,91.0,0.9,6.6
20,8,12,8,15.9,98.0,1.0,7.9
20,11,9,9,16.7,98.0,1.1,8.5
20,14,6,10,16.9,98.0,0.7,5.8
20,13,7,11,16.9,97.0,0.7,7.3
20,12,8,12,17.1,96.0,0.3,4.7
20,9,11,13,17.1,96.0,0.1,3.4
20,2,18,14,17.3,94.0,0.0,7.8
20,6,14,15,17.4,83.0,0.0,10.0
20,10,10,16,17.5,83.0,0.0,10.9
20,6,14,17,17.2,81.0,0.0,9.2
20,5,15,18,16.7,82.0,0.0,6.9
20,3,17,19,16.1,85.0,0.0,5.8
20,1,19,20,15.2,87.0,0.0,7.6
20,5,15,21,14.5,89.0,0.0,9.3
20,7,13,22,14.0,88.0,0.0,10.9
20,11,9,23,13.9,87.0,0.0,11.1
20,12,8,0,13.5,87.0,0.0,9.3
20,11,9,1,13.5,84.0,0.0,9.0
20,11,9,3,13.4,83.0,0.0,9.0
20,11,9,4,13.2,85.0,0.0,8.6
20,11,9,5,13.6,87.0,0.0,9.1
20,10,10,6,15.5,78.0,0.0,10.2
20,17,3,7,16.3,77.0,0.0,10.5
20,19,1,8,17.5,71.0,0.0,9.8
20,18,2,9,19.0,65.0,0.0,9.6
20,16,4,10,20.0,60.0,0.0,6.2
20,17,3,11,20.7,58.0,0.0,6.4
20,11,9,12,21.2,56.0,0.0,6.9
20,11,9,13,21.5,55.0,0.0,7.5
20,0,20,14,22.2,52.0,0.0,8.8
20,2,18,15,22.2,51.0,0.0,10.4
20,0,20,16,22.0,53.0,0.0,10.7
20,7,13,17,21.0,59.0,0.0,9.8
20,10,10,18,19.4,66.0,0.0,9.0
20,9,11,19,18.2,75.0,0.0,6.6
20,10,10,20,17.1,82.0,0.0,5.5
20,7,13,21,17.6,74.0,0.0,6.5
20,8,12,22,17.0,76.0,0.0,8.3
20,8,12,23,15.2,83.0,0.0,7.9
20,8,12,0,13.9,88.0,0.0,8.3
